cod_INE_prov
04
11
14
18
21
23
29
41
22
44
50
33
07
35
38
39
05
09
24
34
37
40
42
47
49
02
13
16
19
45
08
17
25
43
03
12
46
06
10
15
27
32
36
28
30
31
01
48
20
26
51
52
