cod_INE_ccaa,cod_MIR_ccaa,ccaa
01,01,Andalucía
02,02,Aragón
03,03,Principado de Asturias
04,04,Islas Baleares (Illes Balears)
05,05,Canarias
06,06,Cantabria
07,08,Castilla y León
08,07,Castilla-La Mancha
09,09,Cataluña (Catalunya)
10,17,Comunidad Valenciana (Comunitat Valenciana)
11,10,Extremadura
12,11,Galicia (Galiza)
13,12,Comunidad de Madrid
14,15,Región de Murcia
15,13,Comunidad Foral de Navarra 
16,14,País Vasco (Euskadi)
17,16,La Rioja
18,18,Ceuta
19,19,Melilla
