cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
03,senate,2000-03-12,000001,A,ASAMBLEA DE ANDALUCIA,000001,000001,000001
03,senate,2000-03-12,000002,AA,ANDECHA ASTUR,000002,000002,000002
03,senate,2000-03-12,000003,ADN,ALIANZA PARA EL DESARROLLO Y LA NATURALEZA,000003,000003,000003
03,senate,2000-03-12,000004,AE,ACCION ESPAÑOLA,000004,000004,000004
03,senate,2000-03-12,000005,ALAS,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,000005,000005,000005
03,senate,2000-03-12,000006,AN,APROME NACIONALISTA,000006,000006,000006
03,senate,2000-03-12,000007,AR,ACCION REPUBLICANA,000007,000007,000007
03,senate,2000-03-12,000008,AU.TO.NO.MO,PARTIDO DE LOS AUTONOMOS Y PROFESIONALES,000008,000008,000008
03,senate,2000-03-12,000010,BIA,BLOQUE DE LA IZQUIERDA ASTURIANA,000010,000010,000010
03,senate,2000-03-12,000011,BLM,BLOQUE LOCALISTA DE MELILLA,000011,000011,000011
03,senate,2000-03-12,000012,BLOC-VERDS,BLOC NAC. VALENCIA-ELS VERDS-VALENCIANS PEL CANVI,000012,000012,000012
03,senate,2000-03-12,000013,BNG,BLOQUE NACIONALISTA GALEGO,000013,000013,000013
03,senate,2000-03-12,000014,CC,COALICION CANARIA,000014,000014,000014
03,senate,2000-03-12,000015,CC-AHI,COALICION CANARIA-AHI,000015,000015,000015
03,senate,2000-03-12,000016,CCS,CONVERGENCIA CIUDADANA DEL SURESTE,000016,000016,000016
03,senate,2000-03-12,000017,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,000017,000017,000017
03,senate,2000-03-12,000018,CDS-UC,CENTRO DEMOCRATICO Y SOCIAL-UNION CENTRISTA,000018,000145,000145
03,senate,2000-03-12,000019,CG,COALICION GALEGA,000019,000019,000019
03,senate,2000-03-12,000020,CHA,CHUNTA ARAGONESISTA,000020,000020,000020
03,senate,2000-03-12,000021,CIVES,CIVES,000021,000021,000021
03,senate,2000-03-12,000022,CN,CULTURA NATURAL,000022,000022,000022
03,senate,2000-03-12,000023,CNC,CONCEJU NACIONALIEGU CANTABRU,000023,000023,000023
03,senate,2000-03-12,000024,CSD-L,COALICION SOCIAL DEMOCRATA Y LIBERAL,000024,000024,000024
03,senate,2000-03-12,000025,CTC,COMUNION TRADICIONALISTA CARLISTA,000025,000025,000025
03,senate,2000-03-12,000026,CIU,CONVERGENCIA I UNIO,000026,000026,000026
03,senate,2000-03-12,000027,DG,DEMOCRACIA GALEGA,000027,000027,000027
03,senate,2000-03-12,000028,EA,EUSKO ALKARTASUNA,000028,000028,000028
03,senate,2000-03-12,000029,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,000029,000029,000029
03,senate,2000-03-12,000030,EB-IU,EZKER BATUA-IZQUIERDA UNIDA,000030,000030,000063
03,senate,2000-03-12,000031,EC,ESTAT CATALA,000031,000031,000031
03,senate,2000-03-12,000033,EKA,PARTIDO CARLISTA,000033,000033,000167
03,senate,2000-03-12,000034,EL-PAPI,"PARTIDO DE AUTONOMOS, PENSIONISTAS E INDEPENDIENT.",000034,000034,000034
03,senate,2000-03-12,000035,ENV,ESQUERRA NACIONALISTA VALENCIANA,000035,000035,000035
03,senate,2000-03-12,000036,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,000036,000036,000036
03,senate,2000-03-12,000037,ES2000,PLATAFORMA ESPAÑA 2000,000037,000037,000037
03,senate,2000-03-12,000038,EU,EXTREMADURA UNIDA,000038,000038,000038
03,senate,2000-03-12,000039,EU,ESQUERRA UNIDA DE LES ILLES BALEARS,000039,000039,000063
03,senate,2000-03-12,000040,EU-IU,ESQUERDA UNIDA-IZQUIERDA UNIDA,000040,000040,000063
03,senate,2000-03-12,000041,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,000041,000041,000063
03,senate,2000-03-12,000042,EUIA,ESQUERRA UNIDA I ALTERNATIVA,000042,000042,000063
03,senate,2000-03-12,000043,EV-AV,ELS VERDS-ALTERNATIVA VERDA,000043,000043,000076
03,senate,2000-03-12,000044,EV-GV,ELS VERDS-GRUP VERD,000044,000044,000076
