cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,1982-10-28,000001,AC-CC,ASAMBLEA CANARIA - COORDINADORA CANARIA,000001,000001,000001
02,congress,1982-10-28,000002,ACI,AGRUPACION CIUDADANA INDEPENDIENTE,000002,000002,000002
02,congress,1982-10-28,000003,AEBA,AGRUPACION ELECTORAL BLOQUE AGRARIO,000003,000003,000003
02,congress,1982-10-28,000004,AEGI,AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE,000004,000004,000004
02,congress,1982-10-28,000005,AP-PDP,ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR,000005,000005,000005
02,congress,1982-10-28,000006,AP-PDP-PAR,ALIANZA POP.-P.DEMOC.POPULAR-P.ARAGONES REGIONAL.,000006,000006,000005
02,congress,1982-10-28,000007,AP-PDP-PDL-,ALIANZA POP.-P.DEMOC.POPULAR-P.DEMOC.LIBERAL-UCD,000007,000007,000005
02,congress,1982-10-28,000008,AP-PDP-UV,ALIANZA POP.-P.DEMOC.POPULAR-UNION VALENCIANA,000008,000008,000005
02,congress,1982-10-28,000009,ASDC,ASOCIACION SOCIALDEMOCRATA CANARIA,000009,000009,000009
02,congress,1982-10-28,000010,B-PSG,BLOQUE PSG,000010,000010,000010
02,congress,1982-10-28,000011,BIA,BLOQUE DE IZQUIERDA ASTURIANA,000011,000011,000011
02,congress,1982-10-28,000012,CC,CONSERVADORS DE CATALUNYA,000012,000012,000012
02,congress,1982-10-28,000013,CC,CONVERGENCIA CANARIA,000013,000013,000013
02,congress,1982-10-28,000014,CC-UCD,CENTRISTES DE CATALUNYA,000014,000014,000081
02,congress,1982-10-28,000015,CDS,CENTRO DEMOCRATICO Y SOCIAL,000015,000015,000015
02,congress,1982-10-28,000016,CE-FCC,COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA,000016,000016,000016
02,congress,1982-10-28,000017,CIR,COORDINADORA DE LA IZQUIERDA RIOJANA,000017,000017,000017
02,congress,1982-10-28,000018,CIU,CONVERGENCIA I UNIO,000018,000018,000018
02,congress,1982-10-28,000019,CUC,CANDIDATURA DE UNIDAD COMUNISTA,000019,000019,000019
02,congress,1982-10-28,000020,EAJ-PNV,PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA,000020,000020,000020
02,congress,1982-10-28,000021,EE,EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO,000021,000021,000021
02,congress,1982-10-28,000022,EG,ESQUERDA GALEGA,000022,000022,000022
02,congress,1982-10-28,000023,EM,AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA,000023,000023,000023
02,congress,1982-10-28,000024,EMK,MOVIMIENTO COMUNISTA DE EUSKADI,000024,000024,000039
02,congress,1982-10-28,000025,ENV-URV,ESQUERRA NACIONALISTA VALENCIANA,000025,000025,000025
02,congress,1982-10-28,000026,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,000026,000026,000026
02,congress,1982-10-28,000027,EU,EXTREMADURA UNIDA,000027,000027,000027
02,congress,1982-10-28,000028,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,000028,000028,000028
02,congress,1982-10-28,000029,FA,FALANGE ASTURIANA,000029,000029,000029
02,congress,1982-10-28,000030,FE-I,FALANGE ESPAÑOLA INDEPENDIENTE,000030,000030,000030
02,congress,1982-10-28,000031,FE-JONS,FALANGE ESPAÑOLA DE LAS JONS,000031,000031,000031
02,congress,1982-10-28,000032,FIC,FRENTE DE IZQUIERDA COMUNISTA,000032,000032,000032
02,congress,1982-10-28,000033,FN,ASOCIACION POLITICA FUERZA NUEVA,000033,000033,000033
02,congress,1982-10-28,000034,HB,AGRUPACION ELECTORES HERRI BATASUNA,000034,000034,000034
02,congress,1982-10-28,000035,IDG,INDEPENDIENTES Y EMIGRANTES DE GALICIA,000035,000035,000035
02,congress,1982-10-28,000036,IR,IZQUIERDA REPUBLICANA,000036,000036,000036
02,congress,1982-10-28,000037,LC (COSI),LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.),000037,000037,000037
02,congress,1982-10-28,000038,LCR,LIGA COMUNISTA REVOLUCIONARIA,000038,000038,000039
02,congress,1982-10-28,000039,LCR-MC,COALICION ELECTORAL IZQUIERDA COMUNISTA,000039,000039,000039
02,congress,1982-10-28,000040,LKI,LIGA COMUNISTA IRAULTZAILEA,000040,000040,000039
02,congress,1982-10-28,000041,M.CAT.E,MOVIMIENTO CATOLICO ESPAÑOL,000041,000041,000041
02,congress,1982-10-28,000042,MC,MOVIMIENTO COMUNISTA,000042,000042,000039
02,congress,1982-10-28,000043,MC-C-L,MOVIMIENTO COMUNISTA DE CASTILLA-LEON,000043,000043,000039
02,congress,1982-10-28,000044,MCA,MOVIMIENTO COMUNISTA DE ANDALUCIA,000044,000044,000039
02,congress,1982-10-28,000045,MCE,MOVIMIENTO COMUNISTA DE EXTREMADURA,000045,000045,000039
02,congress,1982-10-28,000046,MCRM,MOVIMIENTO COMUNISTA DE LA REGION MURCIANA,000046,000046,000039
02,congress,1982-10-28,000047,MFE,MOVIMIENTO FALANGISTA DE ESPAÑA,000047,000047,000047
02,congress,1982-10-28,000048,NE,NACIONALISTES D'ESQUERRA,000048,000048,000048
02,congress,1982-10-28,000049,PADL,PARTIDO ASTURIANO DEMOCRATA LIBERAL,000049,000049,000049
02,congress,1982-10-28,000050,PAE,PARTIDO AGRARIO ESPAÑOL,000050,000050,000050
02,congress,1982-10-28,000051,PC,PARTIDO CARLISTA,000051,000051,000051
02,congress,1982-10-28,000052,PCA-PCE,PARTIDO COMUNISTA DE ARAGON-PCE,000052,000052,000055
02,congress,1982-10-28,000053,PCA-PCE,PARTIDO COMUNISTA DE ANDALUCIA-PCE,000053,000053,000055
02,congress,1982-10-28,000054,PCC,PARTIT DELS COMUNISTES DE CATALUNYA,000054,000054,000054
02,congress,1982-10-28,000055,PCE,PARTIDO COMUNISTA DE ESPAÑA,000055,000055,000055
02,congress,1982-10-28,000056,PCE (M-L),PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA),000056,000056,000056
02,congress,1982-10-28,000057,PCE-EPK,P.COMUNISTA DE EUSKADI-EUSKADIKO PARTIDO KOMUNIS,000057,000057,000055
02,congress,1982-10-28,000058,PCE-PCG,PARTIDO COMUNISTA DE GALICIA,000058,000058,000055
02,congress,1982-10-28,000059,PCE-PV,P.COMUNISTA DE ESPAÑA-P.COMUN.DEL PAIS VALENCIA,000059,000059,000055
02,congress,1982-10-28,000060,PCOC,PARTIT COMUNISTA OBRER DE CATALUNYA,000060,000060,000061
02,congress,1982-10-28,000061,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,000061,000061,000061
02,congress,1982-10-28,000062,PCU,PUEBLO CANARIO UNIDO,000062,000062,000062
