cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,2000-03-12,000001,A,ASAMBLEA DE ANDALUCIA,000001,000001,000001
02,congress,2000-03-12,000002,AA,ANDECHA ASTUR,000002,000002,000002
02,congress,2000-03-12,000005,ALAS,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,000005,000005,000005
02,congress,2000-03-12,000006,AN,APROME NACIONALISTA,000006,000006,000006
02,congress,2000-03-12,000007,AR,ACCION REPUBLICANA,000007,000007,000007
02,congress,2000-03-12,000008,AU.TO.NO.MO,PARTIDO DE LOS AUTONOMOS Y PROFESIONALES,000008,000008,000008
02,congress,2000-03-12,000009,B-LV,BERDEAK-LOS VERDES,000009,000009,000163
02,congress,2000-03-12,000010,BIA,BLOQUE DE LA IZQUIERDA ASTURIANA,000010,000010,000010
02,congress,2000-03-12,000011,BLM,BLOQUE LOCALISTA DE MELILLA,000011,000011,000011
02,congress,2000-03-12,000012,BLOC-VERDS,BLOC NAC. VALENCIA-ELS VERDS-VALENCIANS PEL CANVI,000012,000012,000012
02,congress,2000-03-12,000013,BNG,BLOQUE NACIONALISTA GALEGO,000013,000013,000013
02,congress,2000-03-12,000014,CC,COALICION CANARIA,000014,000014,000014
02,congress,2000-03-12,000016,CCS,CONVERGENCIA CIUDADANA DEL SURESTE,000016,000016,000016
02,congress,2000-03-12,000017,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,000017,000017,000017
02,congress,2000-03-12,000018,CDS-UC,CENTRO DEMOCRATICO Y SOCIAL-UNION CENTRISTA,000018,000145,000145
02,congress,2000-03-12,000019,CG,COALICION GALEGA,000019,000019,000019
02,congress,2000-03-12,000020,CHA,CHUNTA ARAGONESISTA,000020,000020,000020
02,congress,2000-03-12,000021,CIVES,CIVES,000021,000021,000021
02,congress,2000-03-12,000023,CNC,CONCEJU NACIONALIEGU CANTABRU,000023,000023,000023
02,congress,2000-03-12,000024,CSD-L,COALICION SOCIAL DEMOCRATA Y LIBERAL,000024,000024,000024
02,congress,2000-03-12,000026,CIU,CONVERGENCIA I UNIO,000026,000026,000026
02,congress,2000-03-12,000027,DG,DEMOCRACIA GALEGA,000027,000027,000027
02,congress,2000-03-12,000028,EA,EUSKO ALKARTASUNA,000028,000028,000028
02,congress,2000-03-12,000029,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,000029,000029,000029
02,congress,2000-03-12,000030,EB-IU,EZKER BATUA-IZQUIERDA UNIDA,000030,000030,000063
02,congress,2000-03-12,000031,EC,ESTAT CATALA,000031,000031,000031
02,congress,2000-03-12,000032,EH,EUSKAL HERRITARROK,000032,000032,000032
02,congress,2000-03-12,000033,EKA,PARTIDO CARLISTA,000033,000033,000167
02,congress,2000-03-12,000034,EL-PAPI,"PARTIDO DE AUTONOMOS, PENSIONISTAS E INDEPENDIENT.",000034,000034,000034
02,congress,2000-03-12,000035,ENV,ESQUERRA NACIONALISTA VALENCIANA,000035,000035,000035
02,congress,2000-03-12,000036,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,000036,000036,000036
02,congress,2000-03-12,000037,ES2000,PLATAFORMA ESPAÑA 2000,000037,000037,000037
02,congress,2000-03-12,000038,EU,EXTREMADURA UNIDA,000038,000038,000038
02,congress,2000-03-12,000039,EU,ESQUERRA UNIDA DE LES ILLES BALEARS,000039,000039,000063
02,congress,2000-03-12,000040,EU-IU,ESQUERDA UNIDA-IZQUIERDA UNIDA,000040,000040,000063
02,congress,2000-03-12,000041,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,000041,000041,000063
02,congress,2000-03-12,000042,EUIA,ESQUERRA UNIDA I ALTERNATIVA,000042,000042,000063
02,congress,2000-03-12,000043,EV-AV,ELS VERDS-ALTERNATIVA VERDA,000043,000043,000043
02,congress,2000-03-12,000044,EV-GV,ELS VERDS-GRUP VERD,000044,000044,000076
02,congress,2000-03-12,000046,EVIB,ELS VERDS DE LES ILLES BALEARS,000046,000046,000163
02,congress,2000-03-12,000048,FE,LA FALANGE,000048,000048,000048
02,congress,2000-03-12,000050,FEI-FE 2000,FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000,000050,000050,000050
02,congress,2000-03-12,000051,FN,FUERZA NUEVA,000051,000051,000051
02,congress,2000-03-12,000052,FPG,FRENTE POPULAR GALEGA,000052,000052,000052
02,congress,2000-03-12,000053,FRONT-ERC,FRONT PEL PAIS VALENCIA-ERC,000053,000053,000036
02,congress,2000-03-12,000054,GIL,GRUPO INDEPENDIENTE LIBERAL,000054,000054,000054
02,congress,2000-03-12,000056,IA,IZQUIERDA ANDALUZA,000056,000056,000056
02,congress,2000-03-12,000058,IC-V,INICIATIVA PER CATALUNYA-VERDS,000058,000058,000058
02,congress,2000-03-12,000059,II,INICIATIVA INDEPENDIENTE,000059,000059,000059
02,congress,2000-03-12,000060,INAR,INICIATIVA ARAGONESA,000060,000060,000060
02,congress,2000-03-12,000062,IR-PRE,IZQUIERDA REPUBLICANA-PARTIT REPUBLICA D'ESQUERRA,000062,000062,000062
02,congress,2000-03-12,000063,IU,IZQUIERDA UNIDA,000063,000063,000063
02,congress,2000-03-12,000064,IU,IZQUIERDA UNIDA DE ARAGON,000064,000064,000063
02,congress,2000-03-12,000065,IU-CM,IZQUIERDA UNIDA DE LA COMUNIDAD DE MADRID,000065,000065,000063
02,congress,2000-03-12,000066,LF,LA FALANGE,000066,000048,000048
02,congress,2000-03-12,000067,IUN-NEB,IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA,000067,000067,000063
02,congress,2000-03-12,000069,IUC,IZQUIERDA UNIDA CANARIA,000069,000069,000063
02,congress,2000-03-12,000070,IULV-CA,IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,000070,000070,000063
02,congress,2000-03-12,000071,LI (LIT-CI),LLUITA INTERNACIONALISTA,000071,000071,000073
02,congress,2000-03-12,000072,LI (LIT-CI),LUCHA INTERNACIONALISTA/NAZIOARTEKO BORROKA,000072,000072,000073
02,congress,2000-03-12,000073,LI (LIT-CI),LUCHA INTERNACIONALISTA,000073,000073,000073
02,congress,2000-03-12,000074,LV,LOS VERDES DE EXTREMADURA,000074,000074,000163
02,congress,2000-03-12,000075,LV-CM,LOS VERDES-COMUNIDAD DE MADRID,000075,000075,000075
02,congress,2000-03-12,000076,LV-GV,LOS VERDES-GRUPO VERDE,000076,000076,000076
02,congress,2000-03-12,000077,LV-GV,LOS VERDES-GRUPO VERDE-SOS NATURALEZA,000077,000077,000076
02,congress,2000-03-12,000078,LVE,LOS VERDES-ECOPACIFISTAS,000078,000078,000078
02,congress,2000-03-12,000079,PSDEG-PSOE,PARTIDO DE LOS SOCIALISTAS DE GALICIA-PSOE,000079,000137,000135
