cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
03,senate,1986-06-22,000001,AC-INC,ASAMBLEA CANARIA-IZQUIERDA NACIONALISTA CANARIA,000001,000001,000001
03,senate,1986-06-22,000002,ACP,ACCION CASTELLANA POPULAR,000002,000002,000002
03,senate,1986-06-22,000003,ADEI,AGRUPACION DE ELECTORES INDEPENDIENTES,000003,000003,000003
03,senate,1986-06-22,000004,AE-AIC,"AGRUPACION ELECTORAL""AGRUP INDEPENDIENTE DE CEUTA""",000004,000004,000004
03,senate,1986-06-22,000005,AEEIM,AGRUPACIO D'ELECTORS ENTESA DE L'ESQUERRA MENORCA,000005,000005,000005
03,senate,1986-06-22,000006,AEL,AGRUPACION DE ELECTORES DE LANZAROTE,000006,000006,000006
03,senate,1986-06-22,000007,AIC,COALICION AGRUPACIONES INDEPENDIENTES DE CANARIAS,000007,000007,000007
03,senate,1986-06-22,000008,AM,ASOCIACION POLITICA ASAMBLEA MAJORERA,000008,000008,000008
03,senate,1986-06-22,000009,AP-PDP-PL,COALICION POPULAR,000009,000009,000009
03,senate,1986-06-22,000010,AP-PDP-PL-C,COALICION POPULAR,000010,000010,000009
03,senate,1986-06-22,000011,AP-PL-UPN,COALICION POPULAR,000011,000011,000009
03,senate,1986-06-22,000012,AV,LISTA ALTERNATIVA VERDE,000012,000012,000012
03,senate,1986-06-22,000013,BNG,BLOQUE NACIONALISTA GALEGO,000013,000013,000013
03,senate,1986-06-22,000014,CA,COALICION CANDIDATURA POR LA AUTONOMIA,000014,000014,000014
03,senate,1986-06-22,000015,CDS,CENTRO DEMOCRATICO Y SOCIAL,000015,000015,000015
03,senate,1986-06-22,000016,CG,COALICION GALEGA,000016,000016,000016
03,senate,1986-06-22,000017,CIU,CONVERGENCIA I UNIO,000017,000017,000017
03,senate,1986-06-22,000018,CL,COALICION CONVERGENCIA LEONESISTA,000018,000018,000018
03,senate,1986-06-22,000019,CN,CULTURA NATURAL,000019,000019,000019
03,senate,1986-06-22,000020,CUN,COALICION DE UNIDAD NACIONAL,000020,000020,000020
03,senate,1986-06-22,000021,EAJ-PNV,PARTIDO NACIONALISTA VASCO,000021,000021,000021
