cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,1979-03-01,000001,AID,AGRUPACION INDEPENDIENTE DERECHAS,000001,000001,000007
02,congress,1979-03-01,000002,ARDE,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA,000002,000002,000002
02,congress,1979-03-01,000003,BEAN,BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL,000003,000003,000003
02,congress,1979-03-01,000004,BNPG,BLOQUE NACIONAL POPULAR GALLEGO,000004,000004,000004
02,congress,1979-03-01,000005,C-UPC,UNION DEL PUEBLO CANARIO,000005,000005,000005
02,congress,1979-03-01,000006,CC-UCD,CENTRISTES DE CATALUNYA,000006,000006,000062
02,congress,1979-03-01,000007,CD,COALICION DEMOCRATICA,000007,000007,000007
02,congress,1979-03-01,000008,CIC,CANDIDATURA INDEPENDIENTE DEL CAMPO,000008,000008,000008
02,congress,1979-03-01,000009,CIME,CANDIDATOS INDEPENDIENTES,000009,000009,000009
02,congress,1979-03-01,000010,CIU,COALICION CONVERGENCIA Y UNIO,000010,000010,000010
02,congress,1979-03-01,000011,CNA,CONCEYU NACIONALISTA ASTUR,000011,000011,000011
02,congress,1979-03-01,000012,DSCC,DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA,000012,000012,000012
02,congress,1979-03-01,000013,EE,EUSKADIKO EZKERRA,000013,000013,000013
02,congress,1979-03-01,000014,E CATALA,ESTAT CATALA,000014,000014,000014
02,congress,1979-03-01,000015,ERFN,ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL,000015,000015,000015
02,congress,1979-03-01,000016,FE-UF,FALANGE ESPAÑOLA - UNIDAD FALANGISTA,000016,000016,000016
02,congress,1979-03-01,000017,FEA,FALANGE ESPAÑOLA AUTENTICA,000017,000017,000017
02,congress,1979-03-01,000018,FJONSA,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA,000018,000018,000018
02,congress,1979-03-01,000019,HB,HERRI BATASUNA,000019,000019,000019
02,congress,1979-03-01,000020,IR,IZQUIERDA REPUBLICANA,000020,000020,000020
02,congress,1979-03-01,000021,IR-E,IZQUIERDA REPUBLICANA DE EUSKADI,000021,000021,000020
02,congress,1979-03-01,000022,IRA-ARDE,ALIANZA REPUBLICANA - FRONT VALENCIA,000022,000022,000002
02,congress,1979-03-01,000023,LC,LIGA COMUNISTA,000023,000023,000023
02,congress,1979-03-01,000024,LCR,LIGA COMUNISTA REVOLUCIONARIA,000024,000024,000024
02,congress,1979-03-01,000026,MC-OIC,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA,000026,000026,000026
02,congress,1979-03-01,000028,MCG-OIC,COALICION MCG (MC-OIC),000028,000028,000026
02,congress,1979-03-01,000029,MCPV-OIC,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA,000029,000029,000026
02,congress,1979-03-01,000030,OCE-BR,ORGANIZACION COMUNISTA DE ESPAÑA BANDERA ROJA,000030,000030,000031
02,congress,1979-03-01,000031,OCEBR-UCE,ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA,000031,000031,000031
02,congress,1979-03-01,000032,ORT,ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES,000032,000032,000032
02,congress,1979-03-01,000033,P-CANT,PARTIDO CANTONAL,000033,000033,000033
02,congress,1979-03-01,000034,PANCAL,PARTIDO NACIONALISTA DE CASTILLA Y LEON,000034,000034,000034
02,congress,1979-03-01,000035,PAR,PARTIDO ARAGONES REGIONALISTA,000035,000035,000035
02,congress,1979-03-01,000036,PCARL,PARTIDO CARLISTA,000036,000036,000036
02,congress,1979-03-01,000037,PCC-PCE,PARTIDO COMUNISTA DE CANARIAS-P.C.E.,000037,000037,000038
02,congress,1979-03-01,000038,PCE,PARTIDO COMUNISTA DE ESPAÑA,000038,000038,000038
02,congress,1979-03-01,000039,PCE-EPK,PARTIDO COMUNISTA DE EUSKADI-EUSKADIKO P. KOMUNI.,000039,000039,000038
02,congress,1979-03-01,000040,PCT,PARTIDO COMUNISTA DE LOS TRABAJADORES,000040,000040,000040
02,congress,1979-03-01,000041,PDPCAN,PARTIDO DEL PAIS CANARIO,000041,000041,000041
02,congress,1979-03-01,000042,PG-POG-PSG,UNIDADE GALEGA,000042,000042,000042
02,congress,1979-03-01,000043,PIPPA,PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA,000043,000043,000043
02,congress,1979-03-01,000044,PLC,PARTIDO LIBERAL DE CATALUÑA,000044,000044,000045
02,congress,1979-03-01,000045,PLIB,PARTIDO LIBERAL,000045,000045,000045
02,congress,1979-03-01,000046,PNPV,PARTIT NACIONALISTA DEL PAIS VALENCIA,000046,000046,000046
02,congress,1979-03-01,000047,PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,000047,000047,000047
02,congress,1979-03-01,000048,POC,PARTIDO OBRERO Y CAMPESINO,000048,000048,000048
02,congress,1979-03-01,000049,PPROV,PARTIDO PROVERISTA,000049,000049,000049
02,congress,1979-03-01,000050,PRE,PARTIDO RURALISTA ESPAÑOL,000050,000050,000050
02,congress,1979-03-01,000051,PSA-PA,PARTIDO ANDALUCISTA,000051,000051,000051
02,congress,1979-03-01,000052,PSAR - PSDA,COALICION POR ARAGON,000052,000052,000052
02,congress,1979-03-01,000053,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,000053,000053,000056
02,congress,1979-03-01,000054,PSE-PSOE,PARTIDO SOCIALISTA DE EUSKADI,000054,000054,000056
02,congress,1979-03-01,000055,PSIN,PARTIDO SINDICALISTA,000055,000055,000055
02,congress,1979-03-01,000056,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,000056,000056,000056
02,congress,1979-03-01,000057,PSOE-H,PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO),000057,000057,000057
02,congress,1979-03-01,000058,PSUC-PCE,PARTIT SOCIALIST UNIFICAT DE CATALUNYA,000058,000058,000038
02,congress,1979-03-01,000059,PTC-PTE,PARTIT DEL TREBALL DE CATALUNYA,000059,000059,000060
02,congress,1979-03-01,000060,PTE,PARTIDO DEL TRABAJO DE ESPAÑA,000060,000060,000060
02,congress,1979-03-01,000061,SMIM,SOCIALISTAS DE MALLORCA I MENORCA,000061,000061,000061
02,congress,1979-03-01,000062,UCD,UNION DE CENTRO DEMOCRATICO,000062,000062,000062
02,congress,1979-03-01,000063,UCE,UNIFICACION COMUNISTA DE ESPAÑA,000063,000063,000031
02,congress,1979-03-01,000064,UF-FI-AT,FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA,000064,000064,000064
02,congress,1979-03-01,000065,UFV,UNION FORAL PAIS VASCO,000065,000065,000065
02,congress,1979-03-01,000066,ULE,UNION PARA LA LIBERTAD DE EXPRESION,000066,000066,000066
02,congress,1979-03-01,000067,UN,PARTIDO UNION NACIONAL,000067,000067,000067
02,congress,1979-03-01,000068,UNAI,UNION NAVARRA DE IZQUIERDA,000068,000068,000068
02,congress,1979-03-01,000069,UPN,UNION DEL PUEBLO NAVARRO,000069,000069,000007
02,congress,1979-03-01,000070,URV,UNIO REGIONAL VALENCIANISTA,000070,000070,000070
