cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
03,senate,1982-10-28,000001,AC-CC,ASAMBLEA CANARIA - COORDINADORA CANARIA,000001,000001,000001
03,senate,1982-10-28,000003,AEBA,AGRUPACION ELECTORAL BLOQUE AGRARIO,000003,000003,000003
03,senate,1982-10-28,000005,AP-PDP,ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR,000005,000005,000005
03,senate,1982-10-28,000006,AP-PDP-PAR,ALIANZA POP.-P.DEMOC.POPULAR-P.ARAGONES REGIONAL.,000006,000006,000005
03,senate,1982-10-28,000007,AP-PDP-PDL-,ALIANZA POP.-P.DEMOC.POPULAR-P.DEMOC.LIBERAL-UCD,000007,000007,000005
03,senate,1982-10-28,000008,AP-PDP-UV,ALIANZA POP.-P.DEMOC.POPULAR-UNION VALENCIANA,000008,000008,000005
03,senate,1982-10-28,000009,ASDC,ASOCIACION SOCIALDEMOCRATA CANARIA,000009,000009,000009
03,senate,1982-10-28,000010,B-PSG,BLOQUE PSG,000010,000010,000010
03,senate,1982-10-28,000013,CC,CONVERGENCIA CANARIA,000013,000013,000013
03,senate,1982-10-28,000014,CC-UCD,CENTRISTES DE CATALUNYA,000014,000014,000081
03,senate,1982-10-28,000015,CDS,CENTRO DEMOCRATICO Y SOCIAL,000015,000015,000015
03,senate,1982-10-28,000016,CE-FCC,COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA,000016,000016,000016
03,senate,1982-10-28,000019,CUC,CANDIDATURA DE UNIDAD COMUNISTA,000019,000019,000019
03,senate,1982-10-28,000020,EAJ-PNV,PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA,000020,000020,000020
03,senate,1982-10-28,000021,EE,EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO,000021,000021,000021
03,senate,1982-10-28,000022,EG,ESQUERDA GALEGA,000022,000022,000022
03,senate,1982-10-28,000023,EM,AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA,000023,000023,000023
03,senate,1982-10-28,000025,ENV-URV,ESQUERRA NACIONALISTA VALENCIANA,000025,000025,000025
03,senate,1982-10-28,000027,EU,EXTREMADURA UNIDA,000027,000027,000027
03,senate,1982-10-28,000028,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,000028,000028,000028
03,senate,1982-10-28,000029,FA,FALANGE ASTURIANA,000029,000029,000029
03,senate,1982-10-28,000030,FE-I,FALANGE ESPAÑOLA INDEPENDIENTE,000030,000030,000030
03,senate,1982-10-28,000031,FE-JONS,FALANGE ESPAÑOLA DE LAS JONS,000031,000031,000031
03,senate,1982-10-28,000032,FIC,FRENTE DE IZQUIERDA COMUNISTA,000032,000032,000032
03,senate,1982-10-28,000033,FN,ASOCIACION POLITICA FUERZA NUEVA,000033,000033,000033
03,senate,1982-10-28,000034,HB,AGRUPACION ELECTORES HERRI BATASUNA,000034,000034,000034
03,senate,1982-10-28,000035,IDG,INDEPENDIENTES Y EMIGRANTES DE GALICIA,000035,000035,000035
