cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,1993-06-06,000001,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,000001,000001,000001
02,congress,1993-06-06,000002,PP,PARTIDO POPULAR,000002,000002,000002
02,congress,1993-06-06,000003,CDS,CENTRO DEMOCRATICO Y SOCIAL,000003,000003,000003
02,congress,1993-06-06,000004,IU,IZQUIERDA UNIDA,000004,000004,000004
02,congress,1993-06-06,000005,CC,COALICION CANARIA,000005,000005,000005
02,congress,1993-06-06,000006,FE-JONS,FALANGE ESPAÑOLA DE LAS J.O.N.S.,000006,000006,000006
02,congress,1993-06-06,000007,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,000007,000007,000007
02,congress,1993-06-06,000008,ARM-ADE,AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA,000008,000008,000008
02,congress,1993-06-06,000009,LE,LOS ECOLOGISTAS,000009,000009,000009
02,congress,1993-06-06,000010,UCE,UNIFICACION COMUNISTA DE ESPAÑA,000010,000010,000010
02,congress,1993-06-06,000011,PLN,PARTIDO DE LA LEY NATURAL,000011,000011,000011
02,congress,1993-06-06,000012,PH,PARTIDO HUMANISTA,000012,000012,000012
02,congress,1993-06-06,000013,PST,PARTIDO SOCIALISTA DE LOS TRABAJADORES,000013,000013,000013
02,congress,1993-06-06,000014,UC,UNION CASTELLANISTA,000014,000014,000014
02,congress,1993-06-06,000015,MCES,MONARQUIA CRISTIANA ESPAÑOLA SOCIALDEMOCRATA,000015,000015,000015
02,congress,1993-06-06,000016,PREX,PARTIDO REGIONALISTA EXTREMEÑO,000016,000016,000016
02,congress,1993-06-06,000017,MCE,MOVIMIENTO CATOLICO ESPAÑOL,000017,000017,000017
02,congress,1993-06-06,000018,PED,UNIDAD CENTRISTA-PARTIDO ESPAÑOL DEMOCRATICO,000018,000018,000018
02,congress,1993-06-06,000020,GIL,GRUPO INDEPENDIENTE LIBERAL,000020,000020,000020
02,congress,1993-06-06,000021,ARDE,A.R.D.E. FEDERACION REPUBLICANA,000021,000021,000021
02,congress,1993-06-06,000022,PCPA,PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,000022,000022,000007
02,congress,1993-06-06,000023,IU-CA,IZQUIERDA UNIDA-CONVOCATORIA POR ANDALUCIA,000023,000023,000004
02,congress,1993-06-06,000024,PSOE-A,PART. SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,000024,000024,000001
02,congress,1993-06-06,000025,PA,PARTIDO ANDALUCISTA,000025,000025,000025
02,congress,1993-06-06,000026,UMMP,"UNIO MALLORQUINA, MENORQUINA I PITIUSA",000026,000026,000026
02,congress,1993-06-06,000027,CCL,COALICION POR CANARIAS LIBRE,000027,000027,000027
02,congress,1993-06-06,000029,CHA,CHUNTA ARAGONESISTA,000029,000029,000029
