cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,2015-12-20,000379,C'S,CIUDADANOS PARTIDO DE LA CIUDADANÍA,901079,901079,901079
02,congress,2015-12-20,000382,PACMA,PARTIDO ANIMALISTA-CONTRA EL MALTRATO ANIMAL,902744,902744,902744
02,congress,2015-12-20,000384,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,903484,903484,903484
02,congress,2015-12-20,000385,PP,PARTIDO POPULAR,903316,903316,903316
02,congress,2015-12-20,000387,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,904475,904475,904475
02,congress,2015-12-20,000389,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,902744,902744,902744
02,congress,2015-12-20,000406,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,904475,904475,904475
02,congress,2015-12-20,000407,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,904783,904783,902816
02,congress,2015-12-20,000412,C'S,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,901079,901079,901079
02,congress,2015-12-20,000418,C´S,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,901079,901079,901079
02,congress,2015-12-20,000420,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,904475,904475,904475
02,congress,2015-12-20,000425,UNIO.CAT,UNIÓ DEMOCRÀTICA DE CATALUNYA,904223,904223,904223
02,congress,2015-12-20,000427,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,902744,902744,902744
02,congress,2015-12-20,000428,EB,ESCAÑOS EN BLANCO,901471,901471,901471
02,congress,2015-12-20,000432,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,903484,903484,903484
02,congress,2015-12-20,000433,PSDEG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,904805,904805,903484
02,congress,2015-12-20,000435,P-LIB,PARTIDO LIBERTARIO,903237,903237,903237
02,congress,2015-12-20,000436,PP,PARTIDO POPULAR,903316,903316,903316
