cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,2004-03-14,000001,A,ASAMBLEA DE ANDALUCIA,000001,000001,000001
02,congress,2004-03-14,000002,A-IZ,ASAMBLEA DE IZQUIERDAS-INICIATIVA POR ANDALUCIA,000002,000002,000002
02,congress,2004-03-14,000003,AA,ANDECHA ASTUR,000003,000003,000003
02,congress,2004-03-14,000005,ADN,ALIANZA PARA EL DESARROLLO Y LA NATURALEZA,000005,000005,000005
02,congress,2004-03-14,000006,AMAGA,ALTERNATIVA MAGA NACIONALISTA,000006,000006,000006
02,congress,2004-03-14,000007,APCA,ALTERNATIVA POPULAR CANARIA,000007,000007,000007
02,congress,2004-03-14,000008,ARALAR-ZUTIK,ARALAR-ZUTIK,000008,000008,000008
02,congress,2004-03-14,000009,ASI,AGRUPACION SOCIAL INDEPENDIENTE,000009,000009,000009
02,congress,2004-03-14,000010,AU.TO.NO.MO,PARTIDO DE LOS AUTONOMOS Y PROFESIONALES,000010,000010,000010
02,congress,2004-03-14,000011,AUN,ALIANZA POR LA UNIDAD NACIONAL,000011,000011,000011
02,congress,2004-03-14,000013,AXGC,ALTERNATIVA POR GRAN CANARIA,000013,000013,000013
02,congress,2004-03-14,000014,BLOC-EV,BLOC NACIONALISTA VALENCIA-ESQUERRA VERDA,000014,000014,000014
02,congress,2004-03-14,000015,BNG,BLOQUE NACIONALISTA GALEGO,000015,000015,000015
02,congress,2004-03-14,000017,CC,COALICION CANARIA,000017,000017,000017
02,congress,2004-03-14,000019,CCSE,CONVERGENCIA CIUDADANA DEL SURESTE,000019,000019,000019
02,congress,2004-03-14,000020,CDAS CDS,CONVERGENCIA DEMOCRATICA ASTURIANA Y CDS,000020,000020,000024
02,congress,2004-03-14,000022,CDN,CONVERGENCIA DE DEMOCRATAS DE NAVARRA,000022,000022,000022
02,congress,2004-03-14,000023,CDS,CENTRE DEMOCRATIC I SOCIAL,000023,000024,000024
02,congress,2004-03-14,000024,CDS,CENTRO DEMOCRATICO Y SOCIAL,000024,000024,000024
02,congress,2004-03-14,000025,CENB,CIUDADANOS EN BLANCO,000025,000025,000025
02,congress,2004-03-14,000026,CG,COALICION GALEGA,000026,000026,000026
02,congress,2004-03-14,000027,CHA,CHUNTA ARAGONESISTA,000027,000027,000027
02,congress,2004-03-14,000028,CI,CAND. INDEPENDIENTE-EL PARTIDO DE CASTILLA Y LEON,000028,000028,000028
02,congress,2004-03-14,000031,CNC,CONCEJU NACIONALIEGU CANTABRU,000031,000031,000031
02,congress,2004-03-14,000033,CIU,CONVERGENCIA I UNIO,000033,000033,000033
02,congress,2004-03-14,000034,DN,DEMOCRACIA NACIONAL,000034,000034,000034
02,congress,2004-03-14,000035,EA,EUSKO ALKARTASUNA,000035,000035,000035
02,congress,2004-03-14,000036,EAJ-PNV,EUSKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,000036,000036,000036
02,congress,2004-03-14,000037,EB-IU,EZKER BATUA-IZQUIERDA UNIDA,000037,000037,000070
02,congress,2004-03-14,000038,EKA,EKA-PARTIDO CARLISTA,000038,000038,000107
02,congress,2004-03-14,000040,ENTESA,ESQUERRA UNIDA PAIS VALENCIA+I.REPUBLICANA:ENTESA,000040,000040,000070
02,congress,2004-03-14,000041,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,000041,000041,000041
02,congress,2004-03-14,000042,ERPV,ESQUERRA REPUBLICANA DEL PAIS VALENCIA,000042,000042,000041
02,congress,2004-03-14,000043,ESPAÑA 2000,ESPAÑA 2000,000043,000043,000043
02,congress,2004-03-14,000044,EU,EXTREMADURA UNIDA,000044,000044,000044
02,congress,2004-03-14,000045,EU-IU,ESQUERDA UNIDA-IZQUIERDA UNIDA,000045,000045,000070
02,congress,2004-03-14,000046,EV-AE,ELS VERDS-L'ALTERNATIVA ECOLOGISTA,000046,000046,000046
02,congress,2004-03-14,000047,EV-AV,ELS VERDS-ALTERNATIVA VERDA,000047,000047,000047
02,congress,2004-03-14,000048,EI,ESCONS INSUBMISOS-ALT. DELS DEMOCRATES DESCONTENTS,000048,000048,000048
02,congress,2004-03-14,000049,FA,FALANGE AUTENTICA,000049,000049,000049
02,congress,2004-03-14,000051,FDE,FRENTE DEMOCRATICO ESPAÑOL,000051,000051,000051
02,congress,2004-03-14,000052,FE,LA FALANGE,000052,000052,000052
02,congress,2004-03-14,000053,FE DE LAS JONS,FALANGE ESPAÑOLA DE LAS JONS,000053,000053,000053
02,congress,2004-03-14,000057,FPG,FRENTE POPULAR GALEGA,000057,000057,000057
02,congress,2004-03-14,000058,GPHAE,GRUPO POLITICO HONRADEZ ABSOLUTA ESPAÑOLA,000058,000058,000058
02,congress,2004-03-14,000059,GVE,GRUPO VERDE EUROPEO,000059,000059,000059
02,congress,2004-03-14,000060,I.DE.S.,INICIATIVA POR EL DESARROLLO DE SORIA,000060,000060,000060
02,congress,2004-03-14,000061,IAS,IZQUIERDA ASTURIANA,000061,000061,000061
02,congress,2004-03-14,000062,ICV-EUIA,INIC. PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERN.,000062,000062,000070
02,congress,2004-03-14,000065,IR,IZQUIERDA REPUBLICANA,000065,000065,000065
02,congress,2004-03-14,000066,IR-ERG,IZQUIERDA REPUBLICANA-ESQUERDA REPUBLICANA GALEGA,000066,000066,000065
02,congress,2004-03-14,000068,IR-PRE,IZQUIERDA REPUBLICANA-PARTIT REPUBLICA D'ESQUERRA,000068,000068,000065
02,congress,2004-03-14,000069,IRV,IDENTIDAD REINO DE VALENCIA,000069,000069,000069
02,congress,2004-03-14,000070,IU,IZQUIERDA UNIDA,000070,000070,000070
02,congress,2004-03-14,000071,IU,IZQUIERDA UNIDA DE LA COMUNIDAD DE MADRID,000071,000071,000070
02,congress,2004-03-14,000072,IU,IZQUIERDA UNIDA-IZQUIERDA DE CASTILLA-LA MANCHA,000072,000072,000070
02,congress,2004-03-14,000073,IU-BA,IZQUIERDA UNIDA BLOQUE POR ASTURIES,000073,000073,000070
02,congress,2004-03-14,000074,IU-LV,IZQUIERDA UNIDA-LOS VERDES,000074,000074,000070
02,congress,2004-03-14,000075,IU-SIEX,C. IZQUIERDA UNIDA-SOCIALISTAS IND. DE EXTREMADURA,000075,000075,000070
02,congress,2004-03-14,000076,FYV,PARTIDO FAMILIA Y VIDA,000076,000117,000117
02,congress,2004-03-14,000077,IULV-CA,IZQUIERDA UNIDA-VERDES-CONVOCATORIA POR ANDALUCIA,000077,000077,000070
02,congress,2004-03-14,000078,IUN-NEB,IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA,000078,000078,000070
02,congress,2004-03-14,000079,L.I. (LIT-CI),LLUITA INTERNACIONALISTA,000079,000079,000080
02,congress,2004-03-14,000080,L.I. (LIT-CI),LUCHA INTERNACIONALISTA,000080,000080,000080
02,congress,2004-03-14,000082,LG,PARTIDO DE LA GENTE,000082,000082,000082
02,congress,2004-03-14,000083,LV,LOS VERDES DE EXTREMADURA,000083,000083,000083
02,congress,2004-03-14,000084,LV-E,LOS VERDES-ECOPACIFISTAS,000084,000084,000084
02,congress,2004-03-14,000085,LV-E,"LOS VERDES-ECOPACIFISTAS, ELS VERDS-ECOPACIFISTES",000085,000085,000084
02,congress,2004-03-14,000086,LV-GV,LOS VERDES-GRUPO VERDE,000086,000086,000086
02,congress,2004-03-14,000087,LVCM,LOS VERDES DE LA COMUNIDAD DE MADRID,000087,000087,000087
02,congress,2004-03-14,000088,LVRM,LOS VERDES,000088,000088,000088
02,congress,2004-03-14,000089,MSR,MOVIMENT SOCIAL REPUBLICA,000089,000090,000090
02,congress,2004-03-14,000090,MSR,MOVIMIENTO SOCIAL REPUBLICANO,000090,000090,000090
02,congress,2004-03-14,000091,N,ESTADO NACIONAL EUROPEO,000091,000091,000091
02,congress,2004-03-14,000094,NA-BAI,NAFARROA BAI,000094,000094,000094
02,congress,2004-03-14,000096,OTRADEM,OTRA DEMOCRACIA ES POSIBLE,000096,000096,000096
02,congress,2004-03-14,000097,P.CANNABIS,PART. CANNABIS POR LA LEGALIZACION Y NORMALIZACION,000097,000097,000097
02,congress,2004-03-14,000098,PA,PARTIDO ANDALUCISTA,000098,000098,000098
02,congress,2004-03-14,000101,PADE,PARTIDO DEMOCRATA ESPAÑOL,000101,000101,000101
02,congress,2004-03-14,000102,PAE,PARTIDO DE LOS AUTONOMOS JUBILADOS Y VIUDAS,000102,000102,000102
02,congress,2004-03-14,000103,PAR,PARTIDO ARAGONES,000103,000103,000103
02,congress,2004-03-14,000104,PAS,PARTIU ASTURIANISTA,000104,000104,000104
02,congress,2004-03-14,000107,PC,PARTIDO CARLISTA,000107,000107,000107
02,congress,2004-03-14,000108,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,000108,000108,000111
02,congress,2004-03-14,000109,PCPC-PCPE,PARTIDO COMUNISTA DEL PUEBLO CASTELLANO,000109,000109,000111
02,congress,2004-03-14,000110,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,000110,000110,000111
02,congress,2004-03-14,000111,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,000111,000111,000111
02,congress,2004-03-14,000112,PCPE,PARTIT COMUNISTA DELS POBLES D'ESPANYA,000112,000111,000111
