cod_elec,type_elec,date_elec,turn,cod_INE_prov,cod_mun_district,cod_INE_mun,id_candidacies,order,holder,name,surname,sex,id_card,elected
03,senate,2016-06-26,1,04,9,010,000013,1,TRUE,Juan Jesús,Cano Castañeda, ,          ,FALSE
03,senate,2016-06-26,1,04,9,011,000013,2,TRUE,Juana,Antequera Puertas, ,          ,FALSE
03,senate,2016-06-26,1,04,9,012,000013,3,TRUE,José Luis,Túnez Cano, ,          ,FALSE
03,senate,2016-06-26,1,04,9,024,000017,1,TRUE,Manuel José,Gallardo Ruiz, ,          ,FALSE
03,senate,2016-06-26,1,04,9,025,000017,2,TRUE,Josefa María,Uribe Rodríguez, ,          ,FALSE
03,senate,2016-06-26,1,04,9,026,000017,3,TRUE,José María,García Vargas, ,          ,FALSE
03,senate,2016-06-26,1,04,9,023,000028,1,TRUE,Juan Antonio,Amate Navarro, ,          ,FALSE
03,senate,2016-06-26,1,04,9,013,000041,1,TRUE,María del,Carmen Maldonado Ureña, ,          ,FALSE
03,senate,2016-06-26,1,04,9,014,000041,2,TRUE,Manuel,Ramón Nieto, ,          ,FALSE
03,senate,2016-06-26,1,04,9,022,000049,1,TRUE,Daniel Jesús,Cruz Garzón, ,          ,FALSE
03,senate,2016-06-26,1,04,9,007,000062,1,TRUE,Mónica,Fernández Amador, ,          ,FALSE
03,senate,2016-06-26,1,04,9,008,000062,2,TRUE,Teresa,Novo García, ,          ,FALSE
03,senate,2016-06-26,1,04,9,009,000062,3,TRUE,Luis Jesús,López Pérez, ,          ,FALSE
03,senate,2016-06-26,1,04,9,001,000068,1,TRUE,Luis Rogelio,Rodríguez Comendador Pérez, ,          ,TRUE
03,senate,2016-06-26,1,04,9,002,000068,2,TRUE,Eugenio Jesús,Gonzálvez García, ,          ,TRUE
03,senate,2016-06-26,1,04,9,003,000068,3,TRUE,María Isabel,Sánchez Torregrosa, ,          ,TRUE
03,senate,2016-06-26,1,04,9,004,000077,1,TRUE,Juan Carlos,Pérez Navas, ,          ,TRUE
03,senate,2016-06-26,1,04,9,005,000077,2,TRUE,Rosa María,Pintos Muñoz, ,          ,FALSE
03,senate,2016-06-26,1,04,9,006,000077,3,TRUE,José,Berruezo Padilla, ,          ,FALSE
03,senate,2016-06-26,1,04,9,019,000081,1,TRUE,Ricardo José,Martínez Monllor, ,          ,FALSE
03,senate,2016-06-26,1,04,9,020,000081,2,TRUE,Zenaida,Gonzáles Cerón, ,          ,FALSE
03,senate,2016-06-26,1,04,9,021,000081,3,TRUE,Juan José,Jerez Collado, ,          ,FALSE
03,senate,2016-06-26,1,04,9,015,000093,1,TRUE,Hugo César,Castro Arellano, ,          ,FALSE
03,senate,2016-06-26,1,04,9,016,000094,1,TRUE,Consuelo,Sardón Montoya, ,          ,FALSE
03,senate,2016-06-26,1,04,9,017,000094,2,TRUE,Ramiro José,Téllez Sanz, ,          ,FALSE
03,senate,2016-06-26,1,04,9,018,000094,3,TRUE,José Francisco,Berenguel Gutiérrez, ,          ,FALSE
03,senate,2016-06-26,1,11,9,010,000013,1,TRUE,María Jesús,García Tovar, ,          ,FALSE
03,senate,2016-06-26,1,11,9,011,000013,2,TRUE,Carlos,Pérez González, ,          ,FALSE
03,senate,2016-06-26,1,11,9,012,000013,3,TRUE,Francisco,López García, ,          ,FALSE
03,senate,2016-06-26,1,11,9,025,000028,1,TRUE,Joaquín Antonio,Fernández Foncubierta, ,          ,FALSE
03,senate,2016-06-26,1,11,9,013,000041,1,TRUE,Luis Alberto,Lozano Rodríguez, ,          ,FALSE
03,senate,2016-06-26,1,11,9,014,000041,2,TRUE,Cristina,Ibáñez Pozo, ,          ,FALSE
03,senate,2016-06-26,1,11,9,015,000041,3,TRUE,Merecedes,Álvarez Tobalina, ,          ,FALSE
03,senate,2016-06-26,1,11,9,023,000049,1,TRUE,Mario,Carrillo Trujillo, ,          ,FALSE
03,senate,2016-06-26,1,11,9,024,000053,1,TRUE,Carmen,Díaz López, ,          ,FALSE
03,senate,2016-06-26,1,11,9,007,000062,1,TRUE,José Manuel,Mariscal Cifuentes, ,          ,FALSE
03,senate,2016-06-26,1,11,9,008,000062,2,TRUE,María Emma,Martín Díaz, ,          ,FALSE
03,senate,2016-06-26,1,11,9,009,000062,3,TRUE,José,Abeledo González, ,          ,FALSE
03,senate,2016-06-26,1,11,9,001,000068,1,TRUE,José Ignacio,Landaluce Calleja, ,          ,TRUE
03,senate,2016-06-26,1,11,9,002,000068,2,TRUE,María José,de Alba Castiñeira, ,          ,TRUE
03,senate,2016-06-26,1,11,9,003,000068,3,TRUE,José,Ortiz Galván, ,          ,TRUE
03,senate,2016-06-26,1,11,9,004,000077,1,TRUE,Francisco,González Cabaña, ,          ,TRUE
03,senate,2016-06-26,1,11,9,005,000077,2,TRUE,María Dolores,Naval Zarazaga, ,          ,FALSE
03,senate,2016-06-26,1,11,9,006,000077,3,TRUE,Francisco Manuel,Lara Fernández, ,          ,FALSE
03,senate,2016-06-26,1,11,9,020,000081,1,TRUE,Manuel,Serrano Martín, ,          ,FALSE
03,senate,2016-06-26,1,11,9,021,000081,2,TRUE,Antonio,García-Galán Molina, ,          ,FALSE
03,senate,2016-06-26,1,11,9,022,000081,3,TRUE,Margarita,Orozco Alfonsín, ,          ,FALSE
03,senate,2016-06-26,1,11,9,016,000093,1,TRUE,Manuel,Villalpando Chanivet, ,          ,FALSE
03,senate,2016-06-26,1,11,9,017,000094,1,TRUE,Antonio,Palomar García, ,          ,FALSE
03,senate,2016-06-26,1,11,9,018,000094,2,TRUE,Susana,Candón Canales, ,          ,FALSE
03,senate,2016-06-26,1,11,9,019,000094,3,TRUE,David,Romero Díaz, ,          ,FALSE
03,senate,2016-06-26,1,14,9,010,000013,1,TRUE,Isidoro,García-Escribano Acedo, ,          ,FALSE
03,senate,2016-06-26,1,14,9,011,000013,2,TRUE,María del,Carmen Jaime Mena, ,          ,FALSE
03,senate,2016-06-26,1,14,9,012,000013,3,TRUE,Israel,Ortega Padilla, ,          ,FALSE
03,senate,2016-06-26,1,14,9,017,000017,1,TRUE,Francisco,Infante Lisarte, ,          ,FALSE
03,senate,2016-06-26,1,14,9,018,000017,2,TRUE,María del,Mar Díaz Polonio, ,          ,FALSE
03,senate,2016-06-26,1,14,9,019,000017,3,TRUE,Carlos,Bermudo Munzón, ,          ,FALSE
03,senate,2016-06-26,1,14,9,025,000028,1,TRUE,Félix,Caballero Parreño, ,          ,FALSE
03,senate,2016-06-26,1,14,9,013,000041,1,TRUE,Ana María,Sánchez García, ,          ,FALSE
03,senate,2016-06-26,1,14,9,014,000041,2,TRUE,Manuel de,Toro Costa, ,          ,FALSE
03,senate,2016-06-26,1,14,9,015,000041,3,TRUE,María Araceli,Sánchez Rabasco, ,          ,FALSE
03,senate,2016-06-26,1,14,9,020,000049,1,TRUE,Antonio,Zurera Cañadillas, ,          ,FALSE
03,senate,2016-06-26,1,14,9,021,000049,2,TRUE,María del,Carmen Fernández Martín, ,          ,FALSE
03,senate,2016-06-26,1,14,9,022,000049,3,TRUE,Francisco,Cejas Moreno, ,          ,FALSE
03,senate,2016-06-26,1,14,9,007,000062,1,TRUE,María Alegría,Jiménez Abao, ,          ,FALSE
03,senate,2016-06-26,1,14,9,008,000062,2,TRUE,José Manuel,Blanco Gómez, ,          ,FALSE
03,senate,2016-06-26,1,14,9,009,000062,3,TRUE,Antonia,Naranjo Carmona, ,          ,FALSE
03,senate,2016-06-26,1,14,9,004,000068,1,TRUE,María Beatríz,Jurado Fernández de Córdoba, ,          ,TRUE
03,senate,2016-06-26,1,14,9,005,000068,2,TRUE,Jesús Ramón,Aguirre Muñoz, ,          ,TRUE
03,senate,2016-06-26,1,14,9,006,000068,3,TRUE,Fernando,Priego Chacón, ,          ,TRUE
03,senate,2016-06-26,1,14,9,001,000077,1,TRUE,José Manuel,Mármol Servián, ,          ,TRUE
03,senate,2016-06-26,1,14,9,002,000077,2,TRUE,María de,la Salud Navajas González, ,          ,FALSE
03,senate,2016-06-26,1,14,9,003,000077,3,TRUE,Juan,Díaz Caballero, ,          ,FALSE
03,senate,2016-06-26,1,14,9,023,000081,1,TRUE,Jorge Rafael,Padilla Maestre, ,          ,FALSE
03,senate,2016-06-26,1,14,9,024,000081,2,TRUE,Mercedes,Jiménez Ortiz, ,          ,FALSE
03,senate,2016-06-26,1,14,9,016,000093,1,TRUE,Emilio,Martínez Montilla, ,          ,FALSE
03,senate,2016-06-26,1,14,9,026,000094,1,TRUE,Rafael,Saco Ayllón, ,          ,FALSE
03,senate,2016-06-26,1,14,9,027,000094,2,TRUE,Raúl,Martínez Torres, ,          ,FALSE
03,senate,2016-06-26,1,14,9,028,000094,3,TRUE,Elena,Garrido Dorado, ,          ,FALSE
03,senate,2016-06-26,1,18,9,010,000013,1,TRUE,Antonio Francisco,Suárez García, ,          ,FALSE
03,senate,2016-06-26,1,18,9,011,000013,2,TRUE,Silvia,Torres Contreras, ,          ,FALSE
