cod_elec,type_elec,date_elec,turn,cod_INE_prov,cod_mun_district,cod_INE_mun,id_candidacies,order,holder,name,surname,sex,id_card,elected
03,senate,1986-06-22,1,04,9,002,000009,2,TRUE,ANDRES GARCIA LORCA,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,019,000009,19,TRUE,JUAN-PEDRO GEA GUERRERO,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,021,000009,21,TRUE,MANUEL ARQUEROS OROZCO,, ,0000000000,TRUE
03,senate,1986-06-22,1,04,9,001,000015,1,TRUE,AMOS JURADO ALBACETE,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,010,000015,10,TRUE,CRISTOBAL GARCIA RAMIREZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,022,000015,22,TRUE,MARIA-DOLORES GONZALEZ GO,NZALEZ, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,012,000027,12,TRUE,ELEUTERIO VILCHEZ PARDO,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,014,000027,14,TRUE,ENRIQUE PEREZ FERNANDEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,027,000027,27,TRUE,PASCUAL GAZQUEZ MILAN,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,003,000030,3,TRUE,ANTONIO FERNANDEZ SAEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,004,000035,4,TRUE,ANTONIO MAQUEDA DIAZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,007,000035,7,TRUE,ANTONIO NIETO MARQUEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,024,000035,24,TRUE,MARIANO SANCHEZ HERNANDEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,015,000036,15,TRUE,FERNANDO MOLERO GARZON,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,023,000036,23,TRUE,MARIA-LORETO FERNANDEZ-NI,ETO FERNANDEZ, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,025,000036,25,TRUE,MIGUEL-FERNANDO GARCES TE,RCERO, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,020,000048,20,TRUE,LIDIA SANCHEZ ROJAS,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,017,000050,17,TRUE,GERONIMO PARRILLA VILLEGA,S, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,018,000050,18,TRUE,GINES FERNANDEZ SANCHEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,026,000050,26,TRUE,NICOLAS LOPEZ ALEMAN,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,005,000060,5,TRUE,ANTONIO MARESCA GARCIA-ES,TELLER, ,0000000000,TRUE
03,senate,1986-06-22,1,04,9,008,000060,8,TRUE,BLAS DIAZ BONILLO,, ,0000000000,TRUE
03,senate,1986-06-22,1,04,9,013,000060,13,TRUE,ELOY-JESUS LOPEZ MIRALLES,, ,0000000000,TRUE
03,senate,1986-06-22,1,04,9,006,000061,6,TRUE,ANTONIO MORENO COBOS,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,011,000061,11,TRUE,DIEGO SANCHEZ LOPEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,016,000061,16,TRUE,FRANCISCO FRANCO PUERTA,, ,0000000000,FALSE
03,senate,1986-06-22,1,04,9,009,000064,9,TRUE,CIRO BALLESTER ALARTE,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,009,000009,9,TRUE,ENRIQUE GONZALEZ VAELLO,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,013,000009,13,TRUE,JAVIER CAMARA EGUINOA,, ,0000000000,TRUE
03,senate,1986-06-22,1,11,9,025,000009,25,TRUE,MANUEL DURIO SILONIZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,022,000015,22,TRUE,JOSE VAZQUEZ BENITEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,023,000015,23,TRUE,JOSEFA PEÑUELAS DUCH,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,031,000015,31,TRUE,RAMON COZAR PEREZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,008,000027,8,TRUE,DIEGO LUCENA FRANCO,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,019,000027,19,TRUE,JOSE NIETO FERNANDEZ,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,020,000027,20,TRUE,JOSE PUENTE GARCIA,, ,0000000000,FALSE
03,senate,1986-06-22,1,11,9,018,000030,18,TRUE,JOSE MENA ORTEGA,, ,0000000000,FALSE
